"","city","p1","p2","p3","p4","p5","p6"
"ОАО «ИСТОК-АУДИО ИНТЕРНЭШНЛ»","Фрязино",4,1,98199.2,5182.85,36,520821.85
"ОАО «ФЭЗ»","Фрязино",2,2,98199.2,0,36,527739.5
"ООО «ВЕЗА»","Фрязино",7,1,170000,272201,36,7420207.5
"ООО «НПК «Дельта-Тест»","Фрязино",7,1,5782,4801.17,36,129133.18
"ООО «НТО «ИРЭ-Полюс»","Фрязино",77,39,4805050,1152722,9,17007618.5
"ООО «ПКФ «Экотон»","Фрязино",0,1,98199.2,2087.5,36,202579.5
"ООО «ТД «ФОКУС»","Фрязино",8,1,98199.2,845,36,365143
"ООО «Фирма «ВИПС-МЕД»","Фрязино",12,3,6483,6565.5,1,358436
"ООО НПП «Рефлект»","Фрязино",0,3,400,693.5,36,52033.36
"ФГУП СКБ ИРЭ РАН","Фрязино",26,3,173466,4652.5,4,220837.5
"ФИРЭ им. В.А.Котельникова РАН","Фрязино",48,194,292337.7,0,95,367641.85
"ИПТМ РАН","Черноголовка",36,89,198363.5,1482.05,79,196924.45
"ИПХФ РАН","Черноголовка",143,395,702211,11346,321,932600
"ИСМАН","Черноголовка",36,78,184652.9,2291.5,66,165750.65
"ИТФ РАН","Черноголовка",23,69,112925,0,139,121362.15
"ИФАВ РАН","Черноголовка",51,53,124240,4958.5,108,192010
"ИФТТ РАН","Черноголовка",80,167,326944,6883,279,420180.9
"ИЭМ РАН","Черноголовка",28,66,87867,121,42,96424
